Category,Name,Price,Description,URL
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 2.75"" x 10"" Self-Sealing Paper/Blue Film Sterilization Pouch, 200/Box. Has color",$5.64,Box of 200,https://www.net32.com/ec/house-brand-275-x-10-selfsealing-paper-d-101053?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Defend Ultrasonic Cleaning Tablets - 64 Tablets/Box, 2 Tablets/1 Gal. Biodegradable, non-chlorine",$52.95,Box of 64 tablets,https://www.net32.com/ec/defend-ultrasonic-cleaning-tablets-64-box-2-d-101331?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 3.50"" x 9"" Self-Sealing Sterilization Pouch, Paper/Blue Film with Dual Steam and E.O",$5.77,Box of 200,https://www.net32.com/ec/house-brand-350-x-9-selfsealing-sterilization-d-119514?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"ProCide D 2.5% Glutaraldehyde Sterilant Solution - 1 Gallon Bottle. Long life, activated 28 day",$29.69,One gallon bottle,https://www.net32.com/ec/procide-d-25-glutaraldehyde-sterilant-solution-1-d-29044?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes *Case of 12* Towelettes EXPORT PACKAGE 160/Can. Disposable, ready to use disinfectant",$109.89,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/caviwipes-case-12-towelettes-export-package-160-d-166701?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes Towelettes (X-Large: 9"" x 12"") 65/Can, Case of 12 Canisters. Easy-to-use disposable",$120.11,Case of 12 - 65 wipes canisters,https://www.net32.com/ec/caviwipes-towelettes-xlarge-9-x-12-65-d-178246?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Optim 1 Pre-Saturated Wipes, 6"" x 7"", 160 Wipes/Can, Case of 12. 1 minute broad spectrum contact",$138.99,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/optim-1-presaturated-wipes-6-x-7-d-167101?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"BluTab Waterline Maintenance Tablets 750 mL, Tasteless, Odorless, 50/Pk. 1 Tablet treats 750 mL",$35.98,"50 tablets, 1 Tablet Treats 750 mL",https://www.net32.com/ec/blutab-waterline-maintenance-tablets-750-ml-tasteless-d-54367?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand Type B: 10-1/2"" x 14"" Disposable Tray Sleeves, Clear Plastic. Box of 500",$15.19,Box of 500 sleeves,https://www.net32.com/ec/house-brand-type-b-101-2-x-d-120335?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes Towelettes (X-Large: 9"" x 12"") 65/Can. Easy-to-use disposable towelettes pre-saturated",$17.79,Self-dispensing container with 65 wipes,https://www.net32.com/ec/caviwipes-towelettes-xlarge-9-x-12-65-d-73650?queryID=95cfd5958ae9c9a6dab61163e0702321
